machine_id,n_calibration,n_test,threshold,rmse,q95_margin,coverage_95,avg_width_95
m_1223,1382,922,30.3333,5.6587,15.0479,0.9794,30.0957
m_1437,1382,922,32.5556,6.7864,13.1206,0.9338,26.2413
m_1565,1382,922,41.5,5.7997,12.4278,0.9436,24.8556
m_1617,1382,922,45.5,5.6929,12.3703,0.9436,24.7406
m_1672,1382,922,65.8333,3.3043,6.6653,0.9295,13.3306
m_1903,1382,922,53.1708,6.0475,11.1163,0.9252,22.2327
m_2251,1382,922,0.0,0.0002,0.0,0.9978,0.0
m_2544,1382,922,51.0714,5.2046,11.6661,0.961,23.3322
m_3060,1382,922,29.472,5.9306,11.7921,0.949,23.5843
m_34,1382,922,32.1111,5.7738,12.9142,0.9479,25.8283
